,Nr_boczny,Numer_Linii,brigade_id,update_time,pozycja_dlugosc,pozycja_szerokosc
148,3114,18,11,2023-10-20 16:20:33,17.000431060791,51.1261367797852
149,3115,14,9,2023-10-25 19:35:05,17.0357837677002,51.1244201660156
150,3116,21,18,2023-10-25 19:35:00,17.0292263031006,51.1013641357422
151,3117,5,11,2023-10-25 19:34:54,16.980676651001,51.0947074890137
152,3118,21,10,2023-10-25 19:34:56,17.0216445922852,51.1112594604492
153,3122,21,15,2023-10-25 19:35:02,17.0205039978027,51.1120071411133
154,3123,18,7,2023-10-25 19:35:02,17.0269145965576,51.111198425293
155,3124,21,23,2023-10-25 19:35:05,16.9669990539551,51.1364669799805
156,3125,18,4,2023-10-25 19:35:00,17.0313453674316,51.113712310791
157,3127,21,19,2023-10-25 19:35:00,17.0446395874023,51.0901679992676
158,3128,19,9,2023-10-25 19:34:54,17.0622100830078,51.1108016967773
159,3129,21,14,2023-10-25 19:35:05,17.0456714630127,51.0884017944336
160,3130,21,2,2023-10-25 19:34:51,16.9648342132568,51.1379432678223
161,3131,18,11,2023-10-25 19:35:00,17.0394268035889,51.077220916748
162,3201,13,9,2023-10-25 19:35:05,17.0313739776611,51.0946769714355
163,3203,13,6,2023-10-25 19:35:05,16.9529476165771,51.1196670532227
164,3207,13,4,2023-10-25 19:35:05,17.0214157104492,51.1118011474609
165,3301,23,2,2023-10-25 19:35:00,16.9776477813721,51.114128112793
166,3302,23,1,2023-10-25 19:34:54,17.1022548675537,51.1283187866211
167,3304,23,13,2023-10-25 19:35:05,17.0284938812256,51.1005477905273
168,3305,2,18,2023-10-25 19:35:02,17.0206432342529,51.0936660766602
169,3306,23,12,2023-10-25 19:35:02,16.9841938018799,51.1140670776367
170,3307,15,3,2023-10-25 19:35:00,17.029504776001,51.0915985107422
171,3308,19,8,2023-10-25 19:35:02,17.011157989502,51.1235008239746
172,3309,11,7,2023-10-25 19:35:00,17.0384998321533,51.1078453063965
173,3310,19,3,2023-10-25 19:34:56,17.0601978302002,51.1157646179199
174,3311,23,11,2023-10-25 19:35:05,16.9528713226318,51.1192741394043
175,3313,23,3,2023-10-25 19:35:05,17.0360641479492,51.1001815795898
176,3314,7,13,2023-05-31 09:19:18,17.0061225891113,51.0783805847168
177,3316,23,7,2023-10-25 19:35:00,16.9521541595459,51.1198539733887
178,3317,10,16,2023-10-25 19:35:02,17.029899597168,51.1078453063965
179,3318,2,10,2023-10-25 19:35:05,17.0450210571289,51.107421875
180,3319,23,6,2023-10-25 19:35:02,17.050464630127,51.1273803710938
181,3321,19,2,2023-10-25 19:34:56,17.0796775817871,51.1055107116699
182,3322,5,16,2023-10-25 19:35:02,17.0642261505127,51.0904197692871
183,3323,7,42,2023-10-25 19:35:05,17.0272407531738,51.1499176025391
184,3324,19,7,2023-10-25 19:35:02,16.9587841033936,51.1406745910645
185,3325,19,4,2023-10-25 19:34:54,16.9630813598633,51.1425933837891
186,3326,2,13,2023-10-25 19:35:05,17.0488224029541,51.1111679077148
187,4400,310,1,2023-10-25 13:24:37,17.0578174591064,51.0535011291504
188,4401,152,4,2023-10-25 19:35:02,16.9478435516357,51.1373329162598
189,4407,133,2,2023-10-25 19:34:56,16.9741306304932,51.0519256591797
190,4408,133,9,2023-10-25 19:34:56,17.0144577026367,51.0882720947266
191,4409,152,1,2023-10-25 19:35:05,16.9565868377686,51.0965003967285
192,4410,310,2,2023-10-24 14:12:46,17.0597991943359,51.0488395690918
193,4411,133,4,2023-10-25 19:34:54,17.0865707397461,51.0589904785156
194,4414,133,12,2023-10-25 19:34:56,17.0346069335938,51.0880012512207
195,4416,120,2,2023-10-25 19:34:54,17.0510387420654,51.0993881225586
196,4418,152,3,2023-10-25 19:34:56,16.991720199585,51.0906600952148
